"id","override","price","availability","link"
"47819429445979","AE","125.00 AED","in stock","https://purenbio.com/en-ae/products/organic-hd-full-coverage-mineral-powder?variant=47819429445979"
"47819550949723","AE","113.00 AED","out of stock","https://purenbio.com/en-ae/products/organic-compact-powder-1?variant=47819550949723"
"47819757650267","AE","126.00 AED","in stock","https://purenbio.com/en-ae/products/organic-silk-powder?variant=47819757650267"
"47822132347227","AE","65.00 AED","in stock","https://purenbio.com/en-ae/products/organic-cotton-cleansing?variant=47822132347227"
"52703448138075","AE","151.00 AED","in stock","https://purenbio.com/en-ae/products/organic-bb-cream?variant=52703448138075"
"52703448170843","AE","151.00 AED","in stock","https://purenbio.com/en-ae/products/organic-bb-cream?variant=52703448170843"
"52703448203611","AE","151.00 AED","in stock","https://purenbio.com/en-ae/products/organic-bb-cream?variant=52703448203611"
"48170067427675","AE","54.00 AED","in stock","https://purenbio.com/en-ae/products/organic-eye-patches?variant=48170067427675"
"48170649092443","AE","54.00 AED","in stock","https://purenbio.com/en-ae/products/organic-illuminating-mask?variant=48170649092443"
"48171562697051","AE","54.00 AED","out of stock","https://purenbio.com/en-ae/products/organic-detox-face-mask?variant=48171562697051"
"48171789320539","AE","54.00 AED","in stock","https://purenbio.com/en-ae/products/organic-purity-face-mask?variant=48171789320539"
"48835922919771","AE","116.00 AED","in stock","https://purenbio.com/en-ae/products/organic-guarana-bio-1?variant=48835922919771"
"48846874673499","AE","95.00 AED","in stock","https://purenbio.com/en-ae/products/organic-cardio-bio?variant=48846874673499"
"48848311026011","AE","121.00 AED","in stock","https://purenbio.com/en-ae/products/organic-harpagophytum-bio?variant=48848311026011"
"48848801988955","AE","90.00 AED","in stock","https://purenbio.com/en-ae/products/organic-millepertuis-bio?variant=48848801988955"
"48855475290459","AE","100.00 AED","in stock","https://purenbio.com/en-ae/products/organic-myrtille-bio?variant=48855475290459"
"48859923054939","AE","91.00 AED","in stock","https://purenbio.com/en-ae/products/organic-red-vine?variant=48859923054939"
